tau0,tau
8.0,54.0
8.0,68.35000000000001
8.0,65.8
8.0,68.7
8.0,56.800000000000004
8.0,61.85
8.0,61.1
8.0,73.65
8.0,64.15
8.0,65.4
3.5992438563327034,34.45
3.5992438563327034,29.8
3.5992438563327034,25.55
3.5992438563327034,24.0
3.5992438563327034,23.650000000000002
3.5992438563327034,27.650000000000002
3.5992438563327034,23.35
3.5992438563327034,26.5
3.5992438563327034,25.700000000000003
3.5992438563327034,26.6
2.1875,17.85
2.1875,17.45
2.1875,14.25
2.1875,19.25
2.1875,15.05
2.1875,16.05
2.1875,22.35
2.1875,14.55
2.1875,17.35
2.1875,15.850000000000001
1.532421177870315,12.4
1.532421177870315,13.3
1.532421177870315,14.05
1.532421177870315,14.5
1.532421177870315,12.65
1.532421177870315,15.100000000000001
1.532421177870315,12.0
1.532421177870315,13.4
1.532421177870315,11.350000000000001
1.532421177870315,11.5
1.1648,9.0
1.1648,11.950000000000001
1.1648,8.450000000000001
1.1648,9.450000000000001
1.1648,8.4
1.1648,7.800000000000001
1.1648,9.65
1.1648,10.3
1.1648,9.850000000000001
1.1648,9.700000000000001
0.9330652111462222,6.550000000000001
0.9330652111462222,7.25
0.9330652111462222,6.550000000000001
0.9330652111462222,7.5
0.9330652111462222,6.45
0.9330652111462222,6.7
0.9330652111462222,9.0
0.9330652111462222,9.450000000000001
0.9330652111462222,7.4
0.9330652111462222,6.65
0.7750865051903115,5.8500000000000005
0.7750865051903115,5.75
0.7750865051903115,5.300000000000001
0.7750865051903115,5.15
0.7750865051903115,8.0
0.7750865051903115,6.0
0.7750865051903115,6.15
0.7750865051903115,7.5
0.7750865051903115,6.9
0.7750865051903115,7.8500000000000005
0.6611570247933884,5.800000000000001
0.6611570247933884,6.4
0.6611570247933884,5.0
0.6611570247933884,6.25
0.6611570247933884,6.550000000000001
0.6611570247933884,5.6000000000000005
0.6611570247933884,6.3500000000000005
0.6611570247933884,4.75
0.6611570247933884,5.15
0.6611570247933884,6.300000000000001
0.5754461871281774,4.5
0.5754461871281774,4.15
0.5754461871281774,4.9
0.5754461871281774,5.5
0.5754461871281774,4.9
0.5754461871281774,4.75
0.5754461871281774,4.7
0.5754461871281774,6.6000000000000005
0.5754461871281774,5.1000000000000005
0.5754461871281774,5.95
0.5088088642659279,4.15
0.5088088642659279,4.7
0.5088088642659279,7.45
0.5088088642659279,4.5
0.5088088642659279,4.15
0.5088088642659279,4.3
0.5088088642659279,4.5
0.5088088642659279,5.15
0.5088088642659279,5.0
0.5088088642659279,4.3
0.4556213017751479,4.7
0.4556213017751479,4.25
0.4556213017751479,4.15
0.4556213017751479,7.1000000000000005
0.4556213017751479,4.1000000000000005
0.4556213017751479,3.9000000000000004
0.4556213017751479,3.4000000000000004
0.4556213017751479,4.2
0.4556213017751479,3.7
0.4556213017751479,4.05
0.41224841412796615,4.5
0.41224841412796615,3.2
0.41224841412796615,4.15
0.41224841412796615,3.2
0.41224841412796615,3.4000000000000004
0.41224841412796615,3.35
0.41224841412796615,4.15
0.41224841412796615,3.5
0.41224841412796615,3.35
0.41224841412796615,3.25
0.37624294544477294,3.6500000000000004
0.37624294544477294,3.6
0.37624294544477294,3.3000000000000003
0.37624294544477294,3.85
0.37624294544477294,3.7
0.37624294544477294,2.95
0.37624294544477294,3.3000000000000003
0.37624294544477294,3.6
0.37624294544477294,3.3000000000000003
0.37624294544477294,3.4000000000000004
0.3459005885437911,3.3000000000000003
0.3459005885437911,2.6500000000000004
0.3459005885437911,2.95
0.3459005885437911,3.0500000000000003
0.3459005885437911,3.1500000000000004
0.3459005885437911,3.1
0.3459005885437911,3.0
0.3459005885437911,3.1500000000000004
0.3459005885437911,3.0
0.3459005885437911,2.95
0.32,2.4000000000000004
0.32,2.45
0.32,2.9000000000000004
0.32,2.95
0.32,2.75
0.32,2.5
0.32,4.0
0.32,2.5500000000000003
0.32,2.7
0.32,2.6500000000000004
