tau0,tau
8.0,60.75
8.0,59.2
8.0,49.75
8.0,68.05
8.0,56.95
8.0,56.550000000000004
8.0,47.400000000000006
8.0,67.9
8.0,48.5
8.0,54.5
3.5992438563327034,18.7
3.5992438563327034,24.150000000000002
3.5992438563327034,20.55
3.5992438563327034,26.650000000000002
3.5992438563327034,19.700000000000003
3.5992438563327034,20.25
3.5992438563327034,27.450000000000003
3.5992438563327034,21.85
3.5992438563327034,27.05
3.5992438563327034,20.950000000000003
2.1875,17.05
2.1875,19.900000000000002
2.1875,15.200000000000001
2.1875,13.850000000000001
2.1875,19.400000000000002
2.1875,25.5
2.1875,11.950000000000001
2.1875,11.700000000000001
2.1875,14.350000000000001
2.1875,26.200000000000003
1.532421177870315,16.2
1.532421177870315,11.5
1.532421177870315,11.8
1.532421177870315,10.3
1.532421177870315,10.65
1.532421177870315,15.700000000000001
1.532421177870315,12.4
1.532421177870315,11.600000000000001
1.532421177870315,9.55
1.532421177870315,10.65
1.1648,8.1
1.1648,6.8500000000000005
1.1648,7.4
1.1648,8.700000000000001
1.1648,10.200000000000001
1.1648,7.9
1.1648,6.45
1.1648,9.600000000000001
1.1648,8.65
1.1648,7.25
0.9330652111462222,5.75
0.9330652111462222,6.5
0.9330652111462222,6.050000000000001
0.9330652111462222,8.75
0.9330652111462222,5.3500000000000005
0.9330652111462222,9.55
0.9330652111462222,7.0
0.9330652111462222,8.55
0.9330652111462222,6.550000000000001
0.9330652111462222,6.550000000000001
0.7750865051903115,6.300000000000001
0.7750865051903115,4.8500000000000005
0.7750865051903115,5.2
0.7750865051903115,5.6000000000000005
0.7750865051903115,5.3500000000000005
0.7750865051903115,4.95
0.7750865051903115,5.5
0.7750865051903115,4.7
0.7750865051903115,4.9
0.7750865051903115,5.95
0.6611570247933884,4.3
0.6611570247933884,4.45
0.6611570247933884,7.300000000000001
0.6611570247933884,5.3500000000000005
0.6611570247933884,4.15
0.6611570247933884,4.2
0.6611570247933884,5.45
0.6611570247933884,4.8500000000000005
0.6611570247933884,5.7
0.6611570247933884,4.95
0.5754461871281774,4.3500000000000005
0.5754461871281774,3.9000000000000004
0.5754461871281774,3.5
0.5754461871281774,4.3500000000000005
0.5754461871281774,4.55
0.5754461871281774,4.7
0.5754461871281774,4.4
0.5754461871281774,4.1000000000000005
0.5754461871281774,7.0
0.5754461871281774,4.65
0.5088088642659279,4.45
0.5088088642659279,3.45
0.5088088642659279,3.6
0.5088088642659279,4.9
0.5088088642659279,3.45
0.5088088642659279,4.1000000000000005
0.5088088642659279,3.95
0.5088088642659279,3.6500000000000004
0.5088088642659279,3.25
0.5088088642659279,3.35
0.4556213017751479,3.3000000000000003
0.4556213017751479,3.25
0.4556213017751479,3.25
0.4556213017751479,4.9
0.4556213017751479,4.25
0.4556213017751479,3.25
0.4556213017751479,3.1
0.4556213017751479,3.5500000000000003
0.4556213017751479,4.2
0.4556213017751479,3.0500000000000003
0.41224841412796615,2.5500000000000003
0.41224841412796615,2.9000000000000004
0.41224841412796615,3.0
0.41224841412796615,3.5500000000000003
0.41224841412796615,3.4000000000000004
0.41224841412796615,3.3000000000000003
0.41224841412796615,2.7
0.41224841412796615,3.35
0.41224841412796615,2.5
0.41224841412796615,2.6500000000000004
0.37624294544477294,2.5500000000000003
0.37624294544477294,2.35
0.37624294544477294,4.3
0.37624294544477294,2.75
0.37624294544477294,2.45
0.37624294544477294,2.4000000000000004
0.37624294544477294,2.7
0.37624294544477294,3.1
0.37624294544477294,2.6
0.37624294544477294,2.75
0.3459005885437911,2.8000000000000003
0.3459005885437911,3.0
0.3459005885437911,2.15
0.3459005885437911,2.35
0.3459005885437911,2.95
0.3459005885437911,3.1
0.3459005885437911,2.25
0.3459005885437911,2.25
0.3459005885437911,2.95
0.3459005885437911,2.75
0.32,3.5
0.32,2.5
0.32,2.15
0.32,2.5500000000000003
0.32,2.3000000000000003
0.32,2.6500000000000004
0.32,2.25
0.32,2.4000000000000004
0.32,2.5
0.32,2.85
